"","id","num.picture","task1","task2","task3","latitude","longitude","gender","educ","age"
"146","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",734,1,2,2,49.184598224895,16.6002210188722,1,2,31
"147","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",868,1,3,3,49.2258377914979,16.6603209529456,1,2,31
"148","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",162,1,3,1,49.1999124154991,16.6338981658087,1,2,31
"149","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",211,1,3,3,49.221568109137,16.5762842081358,1,2,31
"150","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",556,1,5,1,49.1927307365645,16.5756904887205,1,2,31
"151","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",216,1,3,4,49.1901720401863,16.6526015731569,1,2,30
"152","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",1146,0,1,3,49.202608063182,16.63447101639,1,2,30
"153","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",46,0,4,5,49.2196647204698,16.5984962418922,1,2,30
"154","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",1110,1,2,5,49.1610101156455,16.5917175187823,1,2,30
"155","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",864,0,3,1,49.2113191760066,16.5796933345131,1,2,30
"156","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",664,0,2,4,49.1690904929993,16.5725144911333,1,2,30
"157","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",112,1,4,3,49.1730665452752,16.5776082536654,1,2,30
"158","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",1099,1,1,1,49.193343860235,16.6026807323705,1,2,30
"159","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",770,1,0,1,49.1613326560969,16.6118539626469,1,2,30
"160","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",527,0,2,3,49.2008658061822,16.624112979821,1,2,30
"161","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",483,0,1,3,49.1959460262961,16.6127283615835,1,2,30
"162","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",932,1,4,3,49.2110775610087,16.5985083441514,1,2,30
"163","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",638,1,3,3,49.1769471685112,16.643124681023,1,2,30
"164","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",758,1,5,2,49.207500541822,16.6130987597939,1,2,30
"165","1564667958_endBrno022e5996af2b572757bbc4300fd31a8b.csv",1148,0,4,3,49.1987538777513,16.6305300900003,1,2,30
"166","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",1269,1,2,3,49.2148438459426,16.5575489823722,0,2,55
"167","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",802,1,3,3,49.1996970985563,16.5894786241443,0,2,55
"168","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",1155,1,2,2,49.213881661529,16.5950938614223,0,2,55
"169","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",1021,1,3,2,49.1972960583267,16.61265341965,0,2,55
"170","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",363,1,2,3,49.1777539902443,16.563052424408,0,2,55
"171","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",954,1,3,3,49.2066503352764,16.5630707063419,0,2,55
