"y";"x";"availability"
"252";49.1944504632483;16.6174794577822;"1"
"253";49.1827888559789;16.5809615404784;"1"
"254";49.1901304126629;16.5826798122874;"1"
"255";49.162184459743;16.5591450810586;"1"
"257";49.2177325459995;16.5807935361222;"1"
"261";49.2057672412585;16.6446986621435;"1"
"262";49.2158571514618;16.5552438602981;"1"
"263";49.2064551335524;16.6178246860758;"1"
"264";49.218834181002;16.5814590697128;"1"
"266";49.1777539902443;16.563052424408;"1"
"267";49.2005787651978;16.6341106851549;"1"
"268";49.2222435164964;16.5537516790691;"1"
"271";49.2217053635146;16.5912068336041;"1"
"272";49.2124484955641;16.6352956620148;"1"
"274";49.191746037772;16.6397410322993;"1"
"275";49.1627016223123;16.5548197810247;"1"
"276";49.2130727199864;16.6075728508804;"1"
"277";49.1990688335461;16.6421298439468;"1"
"279";49.2241817223999;16.5812686188704;"1"
"280";49.2278425774897;16.5898239460902;"1"
"281";49.1649151723217;16.5925170608263;"1"
"282";49.1971949608908;16.5991104162824;"1"
"283";49.2196491901532;16.6528069524638;"1"
"285";49.1932834407109;16.6329770106652;"1"
"286";49.2035613669442;16.5828147954663;"1"
"287";49.1978369340297;16.6021367224434;"1"
"290";49.197179074922;16.6420780037337;"1"
"291";49.2200670080246;16.623903100091;"1"
"292";49.2307111828161;16.5973821383402;"1"
"295";49.2266394037954;16.6188031816742;"1"
"297";49.1711337055284;16.6281299929516;"1"
"299";49.2147729993787;16.6217913051745;"1"
"300";49.1946081447029;16.5859155341841;"1"
"304";49.2010048369368;16.6007327164668;"1"
"305";49.2058612144317;16.6561930038492;"1"
"306";49.2301433706046;16.6016600500074;"1"
"307";49.1944872786983;16.5729211819391;"1"
"308";49.1863351069861;16.66082910417;"1"
"309";49.2154589385031;16.6121929853804;"1"
"311";49.2281841207758;16.6522480285864;"1"
"312";49.1816242006105;16.6268617922246;"1"
"313";49.2200647324276;16.5966958433923;"1"
"314";49.1745704006497;16.5967332548585;"1"
"315";49.1766212016696;16.5680325862393;"1"
"318";49.2035510885401;16.5968234804712;"1"
"319";49.2251585087069;16.590217288358;"1"
"320";49.2086827373735;16.6435910776122;"1"
"321";49.2222001313838;16.5737744007787;"1"
"322";49.197599644705;16.6465831327222;"1"
"323";49.163245971767;16.5955910878006;"1"
"325";49.2184873289398;16.5892363513082;"1"
"326";49.2305835781916;16.5922980532509;"1"
"328";49.1867973726256;16.5724504752468;"1"
"329";49.1782360429737;16.6242173218954;"1"
"330";49.1936708456881;16.6530151490836;"1"
"332";49.2297500724774;16.6488345400542;"1"
"334";49.2270171617202;16.5733904434722;"1"
"335";49.2132207877466;16.603869686708;"1"
