"","num.picture","id","task1","task2","task3","latitude","longitude","gender","educ","age","rating1","rating2","rating3","rating4","rating5","rating6"
"83",8,"1566975129_secondLastTrialendCBd8c8727e-c648-4a90-68db-44e3ba88bea7.csv",0,5,2,48.9865561176845,14.4852597964076,1,2,44,1,1,1,1,0,0
"84",8,"1567000705_secondLastTrialendCB1d84e7bc-cfc6-33b7-a618-d1af9a8e3169.csv",1,2,3,48.9865561176845,14.4852597964076,1,2,33,1,1,1,1,0,0
"85",8,"1565418799_endCB20078.csv",1,5,0,48.9865561176845,14.4852597964076,0,2,61,1,1,1,1,0,0
"86",8,"1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",1,3,2,48.9865561176845,14.4852597964076,1,3,22,1,1,1,1,0,0
"87",8,"1566977429_secondLastTrialendCB20130.csv",1,4,3,48.9865561176845,14.4852597964076,1,3,26,1,1,1,1,0,0
"88",8,"1567016464_endCBa328d06b-1147-0550-0acf-e603e410eeb7.csv",1,5,4,48.9865561176845,14.4852597964076,0,1,47,1,1,1,1,0,0
"89",8,"1567003567_endCB33f92495-0616-f353-db31-12d2797df852.csv",1,6,0,48.9865561176845,14.4852597964076,1,0,18,1,1,1,1,0,0
"90",8,"1567003565_secondLastTrialendCB33f92495-0616-f353-db31-12d2797df852.csv",1,6,0,48.9865561176845,14.4852597964076,1,0,18,1,1,1,1,0,0
"91",8,"1567003567_lastTrial2endCB33f92495-0616-f353-db31-12d2797df852.csv",1,6,0,48.9865561176845,14.4852597964076,1,0,18,1,1,1,1,0,0
"92",8,"1565031795_endCB0640e578bb30441b91b6a24a2f297ab2.csv",1,4,2,48.9865561176845,14.4852597964076,1,1,22,1,1,1,1,0,0
"93",8,"1565346732_endCB20036.csv",0,4,3,48.9865561176845,14.4852597964076,1,2,44,1,1,1,1,0,0
"94",8,"1567016464_lastTrial2endCBa328d06b-1147-0550-0acf-e603e410eeb7.csv",1,5,4,48.9865561176845,14.4852597964076,0,1,47,1,1,1,1,0,0
"95",9,"1566992667_secondLastTrialendCBfc48f8d5-0c41-c039-e870-ce63e282400c.csv",1,5,2,48.9457151723217,14.4659986020287,1,2,67,0,1,1,1,1,1
"96",9,"1566992670_endCBfc48f8d5-0c41-c039-e870-ce63e282400c.csv",1,5,2,48.9457151723217,14.4659986020287,1,2,67,0,1,1,1,1,1
"97",9,"1566908895_endCB0000.csv",1,4,4,48.9457151723217,14.4659986020287,1,2,NA,0,1,1,1,1,1
"98",9,"1566975809_lastTrial2endCB20157.csv",1,5,1,48.9457151723217,14.4659986020287,1,3,52,0,1,1,1,1,1
"99",9,"1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",1,4,3,48.9457151723217,14.4659986020287,0,1,48,0,1,1,1,1,1
"100",9,"1565081073_endCBf2ac86d78ae2a51fd153e186ca5e7c72.csv",1,5,3,48.9457151723217,14.4659986020287,1,2,49,0,1,1,1,1,1
"101",9,"1566992670_lastTrial1endCBfc48f8d5-0c41-c039-e870-ce63e282400c.csv",1,5,2,48.9457151723217,14.4659986020287,1,2,67,0,1,1,1,1,1
"102",9,"1566908895_lastTrial2endCB0000.csv",1,4,4,48.9457151723217,14.4659986020287,1,2,NA,0,1,1,1,1,1
"103",9,"1566975809_lastTrial1endCB20157.csv",1,5,1,48.9457151723217,14.4659986020287,1,3,52,0,1,1,1,1,1
"104",9,"1566908895_lastTrial1endCB0000.csv",1,4,4,48.9457151723217,14.4659986020287,1,2,NA,0,1,1,1,1,1
