"","id","num.picture","task1","task2","task3","city"
"97","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",631,1,5,1,"CB"
"98","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",331,1,5,1,"CB"
"99","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",442,1,5,0,"CB"
"100","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",614,1,5,0,"CB"
"101","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",793,1,5,0,"CB"
"102","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",695,1,5,0,"CB"
"103","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",518,0,5,0,"CB"
"104","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",770,1,5,0,"CB"
"105","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",431,1,5,0,"CB"
"106","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",287,1,2,2,"CB"
"107","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",143,0,3,2,"CB"
"108","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",519,1,1,2,"CB"
"109","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",416,0,4,1,"CB"
"110","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",593,1,4,1,"CB"
"111","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",714,1,4,2,"CB"
"112","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",491,1,4,5,"CB"
"113","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",441,1,2,4,"CB"
"114","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",565,1,3,4,"CB"
"115","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",408,1,3,4,"CB"
"116","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",555,0,1,3,"CB"
"117","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",274,1,1,4,"CB"
"118","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",197,1,3,3,"CB"
"119","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",18,1,3,3,"CB"
"120","1564504755_endCB86e1b42317fd8e607adf4d29bc1bbfe9.csv",529,1,3,2,"CB"
"121","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",768,1,3,4,"CB"
"122","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",377,1,2,4,"CB"
"123","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",679,1,2,4,"CB"
"124","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",512,0,2,2,"CB"
"125","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",185,0,3,2,"CB"
"126","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",482,1,3,2,"CB"
"127","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",445,0,3,3,"CB"
"128","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",583,0,4,4,"CB"
"129","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",395,0,2,3,"CB"
"130","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",617,0,2,2,"CB"
"131","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",307,0,3,2,"CB"
"132","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",83,0,2,4,"CB"
"133","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",132,0,5,4,"CB"
"134","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",500,0,5,2,"CB"
"135","1564509041_endCBa16102599ed14e33ed0df9884785cfe9.csv",152,0,4,4,"CB"
"136","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",730,1,5,4,"CB"
"137","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",429,1,5,1,"CB"
"138","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",305,1,4,1,"CB"
"139","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",111,1,1,1,"CB"
"140","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",725,1,1,1,"CB"
"141","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",724,1,5,3,"CB"
"142","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",556,1,5,3,"CB"
"143","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",362,1,3,3,"CB"
"144","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",478,1,1,2,"CB"
"145","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",710,1,2,2,"CB"
"146","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",507,1,4,2,"CB"
"147","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",393,1,2,1,"CB"
"148","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",665,1,5,5,"CB"
"149","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",208,1,5,2,"CB"
"150","1564552337_endCBc5b477533fbf7c03046b20bc26e18798.csv",247,1,5,2,"CB"
"151","1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",324,1,4,3,"CB"
"152","1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",331,1,4,2,"CB"
"153","1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",475,1,4,3,"CB"
"154","1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",426,0,5,2,"CB"
"155","1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",540,1,5,2,"CB"
"156","1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",617,1,5,2,"CB"
"157","1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",27,1,4,3,"CB"
"158","1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",510,1,5,2,"CB"
"159","1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",635,1,4,2,"CB"
"160","1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",302,1,2,2,"CB"
